English,Spanish,Where it appears
Set your own PIN. The PIN you were given is known to your supervisor. Choose a new one that only you know.,Elija su propio PIN. Su supervisor conoce el PIN que le dieron. Elija uno nuevo que solo usted sepa.,Sign in
Set Your PIN,Elija su PIN,Sign in
Sign In,Iniciar sesión,Sign in
Signing in will work once your account is active.,Podrá iniciar sesión cuando su cuenta esté activa.,Sign in
Signing in...,Iniciando sesión...,Sign in
Something went wrong on our end. Try again in a minute.,Hubo un problema de nuestro lado. Intente de nuevo en un minuto.,Sign in
Staff Operations Portal,Portal del Personal,Sign in
That badge number does not match our records. Check the number in your email.,Ese número de empleado no coincide con nuestros registros. Revise el número en su correo.,Sign in
The number on the email we sent you.,El número que aparece en el correo que le enviamos.,Sign in
The two PINs do not match. Type the same 4 digits in both fields.,Los dos PIN no coinciden. Escriba los mismos 4 dígitos en las dos casillas.,"Sign in, Settings"
This activation link is incomplete. Open the link from your email again.,Este enlace de activación está incompleto. Abra el enlace de su correo otra vez.,Sign in
"This link is no longer valid. Links expire, and each one can only be used once.",Este enlace ya no sirve. Los enlaces vencen y cada uno se puede usar una sola vez.,Sign in
This link works until,Este enlace sirve hasta,Sign in
This reset link is incomplete. Open the link from your email again.,Este enlace de restablecimiento está incompleto. Abra el enlace de su correo otra vez.,Sign in
Try Again,Intentar de nuevo,Sign in
"Welcome back, {name}.","Bienvenido de nuevo, {name}.",Sign in
"Welcome, {name}.","Bienvenido, {name}.",Sign in
Your account is activated but not currently active. Contact your supervisor.,Su cuenta está activada pero no está activa en este momento. Hable con su supervisor.,Sign in
Your PIN has been changed. Contact your supervisor about your account status.,Su PIN fue cambiado. Hable con su supervisor sobre el estado de su cuenta.,Sign in
Your PIN has been saved. Signing in will work once your account is active.,Su PIN se guardó. Podrá iniciar sesión cuando su cuenta esté activa.,Sign in
PIN must be exactly 4 digits.,El PIN debe tener exactamente 4 dígitos.,"Sign in, Settings"
Four of the same digit is too easy to guess. Use a mix of digits.,Cuatro dígitos iguales son muy fáciles de adivinar. Use dígitos distintos.,"Sign in, Settings"
"Digits in a row, like 1234 or 4321, are too easy to guess. Use a different order.","Los dígitos seguidos, como 1234 o 4321, son muy fáciles de adivinar. Use otro orden.","Sign in, Settings"
Your PIN cannot be your badge number or its last four digits.,Su PIN no puede ser su número de empleado ni sus últimos cuatro dígitos.,"Sign in, Settings"
Enter the badge number from your email.,Escriba el número de empleado que aparece en su correo.,Sign in
A new version is ready,Hay una versión nueva lista,"App wide, the update bar"
Add {app} to your home screen,Agregue {app} a su pantalla de inicio,"App wide, the install sheet"
Confirm on the next screen.,Confirme en la siguiente pantalla.,"App wide, the install sheet"
Copied,Copiado,"App wide, the install sheet"
Copy address,Copiar la dirección,"App wide, the install sheet"
Could not find your open shift. Reload and try again.,No se encontró su turno abierto. Recargue e intente de nuevo.,App wide
Don't show again,No mostrar más,"App wide, the install sheet"
Edit shortcuts,Editar accesos directos,"App wide, Settings"
End your shift at {site}?,¿Terminar su turno en {site}?,App wide
Extra large,Más grande,App wide
Install,Instalar,"App wide, the install sheet"
Issue reported,Problema reportado,App wide
"It opens like an app, one tap from your home screen.","Se abre como una aplicación, con un toque desde su pantalla de inicio.","App wide, the install sheet"
Large,Grande,App wide
Largest,El más grande,App wide
Low stock alert!,¡Aviso de poco inventario!,App wide
More,Más,"App wide, Shortcuts, Bar and More"
Not now,Ahora no,"App wide, the install sheet"
Notifications,Notificaciones,"App wide, Notifications"
ON SITE,EN SITIO,App wide
Open the browser menu. It is usually three dots at the top right.,Abra el menú del navegador. Casi siempre son tres puntos arriba a la derecha.,"App wide, the install sheet"
PIN updated,PIN actualizado,"App wide, Settings"
Profile,Perfil,"App wide, header"
Registration submitted. Pending supervisor approval.,Registro enviado. Pendiente de aprobación de su supervisor.,App wide
Request submitted,Solicitud enviada,App wide
Scroll down and tap Add to Home Screen.,Baje y toque Agregar a la pantalla de inicio.,"App wide, the install sheet"
Select a site first,Primero elija un sitio,App wide
Settings,Ajustes,"App wide, Settings, Bar and More"
Shift ended,Turno terminado,App wide
Shift ended at {time},Turno terminado a las {time},App wide
Shift started,Turno iniciado,App wide
Shortcuts saved,Accesos directos guardados,App wide
Sign out,Cerrar sesión,"App wide, header"
Standard,Normal,App wide
Tap Add or Install.,Toque Agregar o Instalar.,"App wide, the install sheet"
Tap Add to Home screen or Install app.,Toque Agregar a la pantalla de inicio o Instalar aplicación.,"App wide, the install sheet"
Tap Add to Home Screen.,Toque Agregar a la pantalla de inicio.,"App wide, the install sheet"
Tap Add.,Toque Agregar.,"App wide, the install sheet"
Tap Install below.,Toque Instalar abajo.,"App wide, the install sheet"
Tap the Share button {share} at the bottom of the screen.,Toque el botón Compartir {share} abajo en la pantalla.,"App wide, the install sheet"
Tap the Share button {share} in the address bar.,Toque el botón Compartir {share} en la barra de direcciones.,"App wide, the install sheet"
Task completed,Tarea completada,App wide
Task unchecked,Tarea desmarcada,App wide
Task updated to {status},Estado de la tarea: {status},App wide
"That sign-in did not match. Check your badge, phone or email and your PIN.","Esos datos no coinciden. Revise su número de empleado, teléfono o correo y su PIN.",App wide
"This page is open inside another app. Open it in Safari or Chrome first, then add it to your home screen.",Esta página está abierta dentro de otra aplicación. Ábrala primero en Safari o Chrome y luego agréguela a su pantalla de inicio.,"App wide, the install sheet"
This shift was already ended,Este turno ya estaba terminado,App wide
this site,este sitio,App wide
Update now,Actualizar ahora,"App wide, the update bar"
"Welcome, {name}","Bienvenido, {name}",App wide
{count} unread notifications,{count} notificaciones sin leer,App wide
{brand} Staff Portal,Portal del Personal de {brand},"App wide, the page title"
Could not read image,No se pudo leer la imagen,"App wide, Profile"
Compression failed,No se pudo preparar la foto,"App wide, Profile"
Custodian,Conserje,"App wide, header, Profile"
Custodial Lead,Líder de conserjes,"App wide, header, Profile"
Lead,Líder,"App wide, header, Profile"
Supervisor,Supervisor,"App wide, header, Profile"
Admin,Administrador,"App wide, header, Profile"
in progress,en proceso,"App wide, Assigned"
resolved,resuelta,"App wide, Assigned"
unable to resolve,sin resolver,"App wide, Assigned"
All Other Sites,Todos los demás sitios,Home
Choose a Site to Start,Elija un sitio para comenzar,Home
Drop requested,Pidió dejarlo,"Home, Schedule"
End Shift,Terminar turno,Home
Ending...,Terminando...,Home
Floor {n},Piso {n},"Home, Tasks, Assigned"
Loading sites...,Cargando sitios...,Home
No sites available yet.,Todavía no hay sitios disponibles.,Home
requested,solicitada,"Home, Schedule"
Scheduled Today,Programado para hoy,Home
Shift Open at {site},Turno abierto en {site},Home
Start Shift,Comenzar turno,Home
Start Shift at {site},Comenzar turno en {site},Home
Started at {time},Comenzó a las {time},Home
Started {day} at {time},Comenzó el {day} a las {time},Home
Starting...,Comenzando...,Home
Time off,Tiempo libre,"Home, Schedule"
Time on Site,Tiempo en el sitio,Home
You asked to drop this shift. Waiting for a decision.,Usted pidió dejar este turno. Espera una decisión.,"Home, Schedule"
Your Assigned Sites,Sus sitios asignados,Home
A shift is still open at {site}. End it before starting another.,Todavía hay un turno abierto en {site}. Termínelo antes de comenzar otro.,Home
A shift is still open. End it before starting another.,Todavía hay un turno abierto. Termínelo antes de comenzar otro.,Home
 (live), (en curso),Schedule
 ({h}h), ({h} h),Schedule
Any additional details...,Cualquier detalle adicional...,Schedule
approved,aprobado,Schedule
Approved,Aprobada,Schedule
Asked,Fecha de solicitud,Schedule
Bereavement and personal,Duelo y asuntos personales,"Schedule, from the API"
Building,Edificio,Schedule
Cancel,Cancelar,"Schedule, Assigned, Report, Supplies, Shortcuts, Profile"
Cancel request,Cancelar solicitud,Schedule
Cancel this time off request?,¿Cancelar esta solicitud de tiempo libre?,Schedule
Cancelled,Cancelada,Schedule
Choose a type,Elija un tipo,Schedule
claimed,tomado,Schedule
Close,Cerrar,"Schedule, Forms, Shortcuts, Notifications"
Completed,Completado,Schedule
Dates,Fechas,Schedule
Decided,Fecha de decisión,Schedule
Denied,Denegada,Schedule
Describe the reason,Describa el motivo,Schedule
Drop Request,Solicitud para dejar el turno,Schedule
Drop request failed,No se pudo enviar la solicitud,Schedule
Drop request sent. Your supervisor will review it.,Solicitud enviada. Su supervisor la revisará.,Schedule
Duration,Duración,Schedule
Emergency,Emergencia,Schedule
End,Fin,Schedule
First day,Primer día,Schedule
Floor,Piso,"Schedule, Tasks"
"For example, 8","Por ejemplo, 8",Schedule
From,Desde,Schedule
Hours,Horas,Schedule
Hours (optional),Horas (opcional),Schedule
Jury duty,Servicio de jurado,"Schedule, from the API"
Keep it,Conservarla,Schedule
Last day,Último día,Schedule
Military leave,Licencia militar,"Schedule, from the API"
Month,Mes,Schedule
My Schedule,Mi horario,Schedule
My time off,Mi tiempo libre,Schedule
N/A,No disponible,Schedule
No note,Sin nota,Schedule
No reason given,No dio un motivo,Schedule
No time off requests yet.,Todavía no tiene solicitudes de tiempo libre.,Schedule
Not given,No indicado,Schedule
Note,Nota,Schedule
Note: {note},Nota: {note},Schedule
Notes,Notas,Schedule
Notes (optional),Notas (opcional),Schedule
On Site,En sitio,Schedule
Only you and the person who approves time off can read this.,Solo usted y la persona que aprueba el tiempo libre pueden leer esto.,Schedule
Other,Otro,Schedule
Paid sick leave,Licencia por enfermedad pagada,"Schedule, from the API"
Part of the day,Parte del día,Schedule
Personal,Asunto personal,Schedule
Pickup,Turnos libres,"Schedule, Bar and More"
Pickup Shift,Turno tomado,Schedule
Reason,Motivo,Schedule
Reason (optional),Motivo (opcional),Schedule
Request time off,Solicitar tiempo libre,Schedule
Request to Drop This Shift,Pedir dejar este turno,Schedule
Requested,Solicitada,Schedule
Scheduled,Programado,"Schedule, Inspect"
Scheduled Shift,Turno programado,Schedule
Scheduling Conflict,Conflicto de horario,Schedule
Send request,Enviar solicitud,Schedule
Service,Servicio,Schedule
Shift End,Fin del turno,Schedule
Shift Start,Inicio del turno,Schedule
Shifts on these days,Turnos en estos días,Schedule
Showing your latest 50 requests.,Mostrando sus 50 solicitudes más recientes.,Schedule
Sick,Enfermedad,Schedule
Site,Sitio,"Schedule, Assigned, Report"
Specify Reason,Indique el motivo,Schedule
Start,Inicio,Schedule
Status,Estado,Schedule
Still on site,Todavía en sitio,Schedule
Submit Request,Enviar solicitud,"Schedule, Supplies"
Time,Hora,Schedule
Time off request,Solicitud de tiempo libre,Schedule
Time off request cancelled.,Solicitud de tiempo libre cancelada.,Schedule
Time off requested. You get a notice when it is decided.,Tiempo libre solicitado. Recibirá un aviso cuando se decida.,Schedule
To,Hasta,Schedule
Today,Hoy,"Schedule, Tasks"
Type,Tipo,Schedule
Unpaid time off,Tiempo libre sin pago,"Schedule, from the API"
Week,Semana,Schedule
Worked,Trabajado,Schedule
Worked Shift,Turno trabajado,Schedule
You get a notice in the app when your request is decided.,Recibirá un aviso en la aplicación cuando se decida su solicitud.,Schedule
"Your supervisor will review this request. If approved, the shift will be opened for pickup or reassigned.","Su supervisor revisará esta solicitud. Si la aprueba, el turno se abrirá para que otra persona lo tome o se reasignará.",Schedule
{h}h {m}m,{h} h {m} min,Schedule
{n} hour,{n} hora,Schedule
{n} hours,{n} horas,Schedule
{start} to {end},{start} a {end},"Schedule, Pickup, Tasks"
"{start} to {end}, {year}","{start} a {end}, {year}",Schedule
Pending,Pendiente,"Schedule, Pickup"
Claimed,Tomado,"Schedule, Pickup"
Filled,Cubierto,"Schedule, Pickup"
Back to checklist,Volver a la lista,Tasks
Due Date:,Fecha límite:,Tasks
Instructions,Instrucciones,Tasks
Loading tasks...,Cargando tareas...,Tasks
Mark Complete,Marcar como completada,Tasks
Mark {name} done,Marcar {name} como completada,Tasks
Mark {name} not done,Desmarcar {name},Tasks
No checklist is set up for this building yet.,Este edificio todavía no tiene una lista de tareas.,Tasks
No tasks loaded. Start your shift at a site to see your checklist.,No hay tareas. Comience su turno en un sitio para ver su lista.,Tasks
PRIORITY,PRIORIDAD,Tasks
Reference Photo,Foto de referencia,Tasks
Reference Video,Video de referencia,Tasks
Start your shift to see and check off your tasks.,Comience su turno para ver y marcar sus tareas.,Tasks
Task reference,Referencia de la tarea,Tasks
Time:,Hora:,Tasks
Try again,Intentar de nuevo,"Tasks, Help, Speak Up, Forms, Notifications"
Uncheck Task,Desmarcar tarea,Tasks
Your Assignment,Su asignación,Tasks
Your tasks did not load.,Sus tareas no cargaron.,Tasks
General,General,"Tasks, Assigned"
Which shift are you working?,¿Qué turno está trabajando?,Tasks
Chosen by the time you started. Change it if it is wrong.,Elegido según la hora en que empezó. Cámbielo si no es correcto.,Tasks
Use this shift,Usar este turno,Tasks
Change shift,Cambiar turno,Tasks
This week,Esta semana,Tasks
Every two weeks,Cada dos semanas,Tasks
This month,Este mes,Tasks
This quarter,Este trimestre,Tasks
This season,Esta temporada,Tasks
As needed,Según se necesite,Tasks
{done} of {total} done,{done} de {total} hechas,Tasks
Done today by {firstName},Hecho hoy por {firstName},Tasks
Done yesterday by {firstName},Hecho ayer por {firstName},Tasks
Done {weekday} by {firstName},Hecho el {weekday} por {firstName},Tasks
Done {date} by {firstName},Hecho el {date} por {firstName},Tasks
Checked by {firstName},Marcado por {firstName},Tasks
Only the person who checked this can uncheck it.,Solo la persona que marcó esta tarea puede desmarcarla.,Tasks
Admin (Private),Administración (privado),Chat
No chats are set up for you yet. Ask your supervisor.,Todavía no hay chats para usted. Pregunte a su supervisor.,Chat
No messages yet.,Todavía no hay mensajes.,Chat
Only you and management can see these messages,Solo usted y la administración ven estos mensajes,Chat
Pick a chat at the top first.,Primero elija un chat arriba.,Chat
Pick a chat to start.,Elija un chat para empezar.,Chat
Private chats,Chats privados,Chat
Private conversation with admin.,Conversación privada con la administración.,Chat
Private message to admin...,Mensaje privado a la administración...,Chat
Type a message...,Escriba un mensaje...,Chat
You cannot send messages in this chat.,No puede enviar mensajes en este chat.,Chat
Your chats did not load. Try again in a minute.,Sus chats no cargaron. Intente de nuevo en un minuto.,Chat
Your message was not sent.,Su mensaje no fue enviado.,Chat
Add a photo,Agregar una foto,Help
Based on,Según,Help
Describe what happened,Describa lo que pasó,Help
Fill in form,Llenar formulario,Help
general cleaning guidance,una guía general de limpieza,Help
Not sent.,No se envió.,Help
Remove photo,Quitar foto,Help
Report in progress,Reporte en proceso,Help
Report submitted.,Reporte enviado.,Help
Resume,Continuar,Help
Retry,Reintentar,Help
Send,Enviar,"Help, Speak Up"
Still needed before you can submit:,Falta esto antes de poder enviar:,Help
Submit report,Enviar reporte,"Help, Forms"
Submitting...,Enviando...,"Help, Inspect"
Tell me what happened and I will tell you what to do.,Cuénteme qué pasó y le digo qué hacer.,Help
the ADP guide,la guía de ADP,Help
the app guide,la guía de la aplicación,Help
The connection dropped. Your answer is saved.,Se perdió la conexión. La respuesta quedó guardada.,Help
"This photo could not be read here. Choose a JPEG or PNG, or take a screenshot of it.","Esta foto no se pudo leer aquí. Elija un JPEG o PNG, o tome una captura de pantalla.",Help
Unfinished reports,Reportes sin terminar,Help
Uploading...,Subiendo...,"Help, Assigned, Report, Inspect"
Working from the written procedure only right now.,Por ahora solo se está usando el procedimiento escrito.,Help
x,x,"Help, Assigned, Report, Inspect"
You can send up to 3 photos with one message.,Puede enviar hasta 3 fotos en un mensaje.,Help
{answered} of {total} answered,{answered} de {total} respondidas,Help
A photo of the completed task is required,Se necesita una foto de la tarea completada,Assigned
Assigned,Asignadas,"Assigned, Bar and More"
Assigned by,Asignada por,Assigned
Assigned Tasks,Tareas asignadas,Assigned
at {time},a las {time},Assigned
Attached Photo,Foto adjunta,Assigned
Attached Video,Video adjunto,Assigned
Back to assigned tasks,Volver a las tareas asignadas,Assigned
Cannot Resolve,No se puede resolver,Assigned
Describe the issue preventing completion...,Describa lo que impide completarla...,Assigned
Describe the steps you took...,Describa los pasos que siguió...,Assigned
Describe what you did to complete this task,Describa lo que hizo para completar esta tarea,Assigned
Description,Descripción,Assigned
Due Date,Fecha límite,Assigned
Due:,Para:,Assigned
Explain why this cannot be completed *,Explique por qué no se puede completar *,Assigned
In Progress,En proceso,Assigned
ISSUE,PROBLEMA,Assigned
Mark as Resolved,Marcar como resuelta,Assigned
No assigned tasks right now.,No hay tareas asignadas en este momento.,Assigned
Photo must be under 10MB,La foto debe pesar menos de 10 MB,"Assigned, Report"
Photo of completed task *,Foto de la tarea completada *,Assigned
Please provide a reason,Indique un motivo,Assigned
Preview,Vista previa,"Assigned, Report"
Reported by,Reportada por,Assigned
Required to verify completion,Se necesita para comprobar que se completó,Assigned
Resolved,Resuelta,Assigned
Submit,Enviar,Assigned
Submit Resolution,Enviar resolución,Assigned
Take Photo of Completed Task,Tomar foto de la tarea completada,Assigned
Task,Tarea,Assigned
What did you do to complete this? *,¿Qué hizo para completarla? *,Assigned
"When a supervisor assigns a task to you, it will appear here.","Cuando un supervisor le asigne una tarea, aparecerá aquí.",Assigned
{n} task assigned to you,{n} tarea asignada a usted,Assigned
{n} tasks assigned to you,{n} tareas asignadas a usted,Assigned
Unable to resolve,Sin resolver,Assigned
Medium,Media,"Assigned, Report"
Critical,Crítica,Assigned
+ Report,+ Reportar,Report
Additional details...,Detalles adicionales...,Report
Brief description,Descripción breve,Report
Details,Detalles,"Report, Supplies"
"e.g. Restroom, Lobby","por ejemplo: baño, recepción",Report
Enter issue title,Escriba un título para el problema,Report
High,Alta,"Report, Supplies"
Issues,Problemas,"Report, Bar and More"
"JPG, PNG up to 10MB",JPG o PNG hasta 10 MB,Report
Low,Baja,"Report, Supplies"
Med,Media,Report
No issues reported yet.,Todavía no se ha reportado ningún problema.,Report
Photo,Foto,Report
Photo attached:,Foto adjunta:,Report
Report an Issue,Reportar un problema,Report
Select a site,Elija un sitio,Report
Select site...,Elija un sitio...,"Report, Inspect"
Severity,Gravedad,Report
Submit Issue,Enviar problema,Report
Take Photo or Choose from Gallery,Tomar foto o elegir de la galería,Report
Title,Título,Report
Zone,Zona,Report
Open,Abierto,Report
Closed,Cerrado,Report
+ Request,+ Solicitar,Supplies
Damage Report,Reporte de daño,Supplies
Describe the request...,Describa la solicitud...,Supplies
Enter the item name,Escriba el nombre del artículo,Supplies
Item,Artículo,Supplies
Item Name,Nombre del artículo,Supplies
Log Usage,Registrar uso,Supplies
Log usage or submit a request,Registre el uso o envíe una solicitud,Supplies
LOW,POCO,Supplies
New Gear,Equipo nuevo,Supplies
One less,Uno menos,Supplies
One more,Uno más,Supplies
New Supply,Suministro nuevo,Supplies
Normal,Normal,Supplies
QR,QR,Supplies
Refill,Reposición,Supplies
Request Type,Tipo de solicitud,Supplies
Select a request type,Elija un tipo de solicitud,Supplies
Select supply...,Elija un artículo...,Supplies
Start your shift to log usage. Requests can be submitted anytime.,Comience su turno para registrar el uso. Las solicitudes se pueden enviar en cualquier momento.,Supplies
Supplies,Suministros,"Supplies, Bar and More"
Supply Item,Artículo,Supplies
Supply Tracking,Control de suministros,Supplies
Supply/Gear Request,Solicitud de suministros o equipo,Supplies
This Shift's Log,Registro de este turno,Supplies
Urgency,Urgencia,Supplies
Urgent,Urgente,Supplies
What do you need?,¿Qué necesita?,Supplies
Approved. You are scheduled for this shift.,Aprobado. Está programado para este turno.,Pickup
Available,Disponibles,Pickup
Bldg:,Edificio:,Pickup
Callout,Ausencia,Pickup
Check back later for available pickup shifts at your assigned sites.,Vuelva más tarde para ver turnos libres en los sitios que tiene asignados.,Pickup
Claim This Shift,Tomar este turno,Pickup
Claiming...,Tomando...,Pickup
Extra Coverage,Cobertura adicional,Pickup
Floor:,Piso:,Pickup
My Pickups,Los míos,Pickup
New Shift,Turno nuevo,Pickup
No claimed shifts,No tiene turnos tomados,Pickup
No open shifts right now,No hay turnos libres en este momento,Pickup
No-Show,No se presentó,Pickup
Release Shift,Soltar turno,Pickup
Release this shift? It will go back to the open pool for someone else to claim.,¿Soltar este turno? Volverá a la lista abierta para que otra persona lo tome.,Pickup
Shift claimed (overtime warning: {hours}h this week),Turno tomado (aviso de horas extra: {hours} h esta semana),Pickup
Shift claimed successfully!,¡Turno tomado!,Pickup
Shift Pickup Board,Turnos libres,Pickup
Shift released,Turno soltado,Pickup
Shifts you claim will appear here.,Los turnos que tome aparecerán aquí.,Pickup
Start your shift at the normal time and your daily tasks will load automatically.,Comience su turno a la hora de siempre y sus tareas del día cargarán solas.,Pickup
URGENT,URGENTE,Pickup
Voluntary Drop,Turno dejado,Pickup
Waiting for manager approval,Esperando la aprobación del gerente,Pickup
+ Schedule,+ Programar,Inspect
Attach Photo,Adjuntar foto,Inspect
"General observations, follow-ups needed, etc.","Observaciones generales, seguimientos pendientes, etc.",Inspect
Inspection scheduled,Inspección programada,Inspect
Inspection sent. {n} problem reported for fixing.,Inspección enviada. {n} problema reportado para arreglar.,Inspect
Inspection sent. {n} problems reported for fixing.,Inspección enviada. {n} problemas reportados para arreglar.,Inspect
Inspection submitted,Inspección enviada,Inspect
Inspections assigned to you will appear here.,Las inspecciones que le asignen aparecerán aquí.,Inspect
My Inspections,Mis inspecciones,Inspect
Needs a fix,Necesita arreglo,Inspect
No inspections pending,No hay inspecciones pendientes,Inspect
Not due yet,Todavía no corresponde,Inspect
Not reported: {0},Sin reportar: {0},Inspect
Notes for this item (optional),Notas para este punto (opcional),Inspect
Overall Notes,Notas generales,Inspect
Photo attached,Foto adjunta,Inspect
pts,pts,Inspect
Running total,Total acumulado,Inspect
Say what needs fixing,Diga qué hay que arreglar,Inspect
Schedule Inspection,Programar inspección,Inspect
Scheduled Date *,Fecha programada *,Inspect
Scheduling...,Programando...,Inspect
Select template...,Elija una plantilla...,Inspect
Site *,Sitio *,Inspect
Submit Inspection,Enviar inspección,Inspect
Tap an inspection to begin scoring.,Toque una inspección para empezar a calificar.,Inspect
Tap to start scoring,Toque para empezar a calificar,Inspect
Template *,Plantilla *,Inspect
"Template, site, and date are required","Se necesitan la plantilla, el sitio y la fecha",Inspect
Anyone you pick below will not be able to see this report.,Nadie que usted elija abajo podrá ver este reporte.,Speak Up
Is this about someone in management?,¿Es sobre alguien de la gerencia?,Speak Up
No,No,Speak Up
No one matches that name.,Nadie tiene ese nombre.,Speak Up
"Nothing you write here is kept. If you leave this screen before you send, it is gone.","Nada de lo que escriba aquí se guarda. Si sale de esta pantalla antes de enviar, se pierde.",Speak Up
Optional,Opcional,Speak Up
Please try again.,Intente de nuevo.,Speak Up
Quote this if you follow up.,Menciónelo si vuelve a preguntar.,Speak Up
Report a problem with someone,Reportar un problema con alguien,Speak Up
Search by name,Buscar por nombre,Speak Up
Someone will be in touch with you within 72 hours.,Alguien se comunicará con usted en un plazo de 72 horas.,Speak Up
The staff list did not load. Try again in a minute.,La lista del personal no cargó. Intente de nuevo en un minuto.,Speak Up
We got your report.,Recibimos su reporte.,Speak Up
What happened,Qué pasó,Speak Up
Who is involved?,¿Quién está involucrado?,Speak Up
Who is it about? Pick at least one person.,¿Sobre quién es? Elija al menos una persona.,Speak Up
Write what happened in your own words. One sentence is enough.,Escriba lo que pasó con sus propias palabras. Con una frase basta.,Speak Up
Yes,Sí,Speak Up
You can write up to {max} characters.,Puede escribir hasta {max} caracteres.,Speak Up
Your reference,Su número de referencia,Speak Up
Your report was not sent.,Su reporte no se envió.,Speak Up
{used} of {max} characters used.,{used} de {max} caracteres usados.,Speak Up
Add row,Agregar fila,Forms
Answered,Respondida,Forms
Back,Atrás,"Forms, Profile"
Check this answer,Revise esta respuesta,Forms
Continue,Continuar,Forms
Done,Listo,"Forms, Shortcuts, Settings"
Edit,Editar,"Forms, Profile"
Forms,Formularios,"Forms, Bar and More"
Forms could not load. Check your signal and try again.,Los formularios no cargaron. Revise su señal e intente de nuevo.,Forms
Keep filling,Seguir llenando,Forms
Leave,Salir,Forms
"Leave this report? Your saved answers stay, and you can continue from Forms or Help.",¿Salir de este reporte? Sus respuestas guardadas se quedan y puede continuar desde Formularios o Ayuda.,Forms
Loading forms,Cargando formularios,Forms
Next,Siguiente,Forms
No forms to fill right now.,No hay formularios para llenar ahora.,Forms
Not answered,Sin responder,Forms
Not saved yet. Check your signal and tap Next again.,Todavía no se guardó. Revise su señal y toque Siguiente otra vez.,Forms
Not sent yet. Check your signal and tap Submit report again.,Todavía no se envió. Revise su señal y toque Enviar reporte otra vez.,Forms
Not signed,Sin firmar,Forms
Not signed yet. Check your signal and tap Sign again.,Todavía no se firmó. Revise su señal y toque Firmar otra vez.,Forms
Not yet,Todavía no,Forms
Opening,Abriendo,Forms
